Word,Freq_SUBTLEXUS,BigramF_Avg_C_Log,OLD20,PLD20,Phonographic_N,Sem_N_D,NMorph,,TrigramF_Avg_C_Log,STRING,N2_F,N3_F,N2_F_log10,N3_F_log10,BigramF_Avg_C_Log_SCOPE,TrigramF_Avg_C_Log_SCOPE,
adjust,2.459392488,2.526416823,2.45,2.35,0,0.5626148,1,,1.571009672,adjust,336.06,37.24,2.526416823,1.571009672,2.527707216,1.582517884,
administration,2.588831726,2.122739993,4.3,4.9,0,0.6644159,3,,2.054919327,administration,132.66,113.48,2.122739993,2.054919327,2.126001457,2.058729621,
admiral,2.927370363,2.785322715,2.5,2.75,0,0.6077345,1,,2.336799831,admiral,609.99,217.17,2.785322715,2.336799831,2.786034102,2.338795032,
admire,2.859138297,2.846139098,1.85,2.2,0,0.42608327,1,,1.849542252,admire,701.68,70.72,2.846139098,1.849542252,2.846757593,1.855640281,
admit,3.480006943,2.334192292,2,2,0,0.5737204,2,,1.8283376,admit,215.87,67.35,2.334192292,1.8283376,2.336199479,1.834738519,
admitted,2.670245853,3.173390251,2.65,2.5,0,0.63775051,3,,2.353954679,admitted,1490.7,225.92,3.173390251,2.353954679,3.17368149,2.355872775,
adopt,2.378397901,2.232945313,1.85,1.85,2,0.60428554,1,,1.339053736,adopt,170.98,21.83,2.232945313,1.339053736,2.235477945,1.358505911,
adopted,2.63447727,3.263475101,2.45,2.6,1,0.67139792,2,,2.523733464,adopted,1834.32,333.99,3.263475101,2.523733464,3.263711797,2.525031843,
adoption,2.380211242,2.945148409,2.75,2.8,0,0.61500579,2,,2.615834365,adoption,881.35,412.89,2.945148409,2.615834365,2.94564089,2.616884934,
adorable,2.730782276,2.662474504,2.85,2.9,0,0.28768644,2,,2.290902333,adorable,459.7,195.39,2.662474504,2.290902333,2.663418212,2.29311937,
adore,2.596597096,3.157789086,1.8,1.75,1,0.33884439,1,,1.719911064,adore,1438.1,52.47,3.157789086,1.719911064,3.158090973,1.728110184,
ads,2.413299764,1.66407759,1.4,1.45,0,0.58138674,2,,0.552668216,ads,46.14,3.57,1.66407759,0.552668216,1.673389578,0.6599162,
adult,2.86332286,3.160366473,1.95,1.9,0,0.65881234,1,,2.020154032,adult,1446.66,104.75,3.160366473,2.020154032,3.160666575,2.024280376,
adults,2.689308859,2.561101384,2.3,2.4,0,0.62686872,2,,1.703205371,adults,364,50.49,2.561101384,1.703205371,2.562292864,1.711722892,
advance,2.911690159,2.654965451,2.6,2.55,0,0.65599084,1,,2.27636988,advance,451.82,188.96,2.654965451,2.27636988,2.6559256,2.278662161,
advanced,2.655138435,3.0993871,2.75,2.7,0,0.67007506,2,,2.144356227,advanced,1257.15,139.43,3.0993871,2.144356227,3.099732422,2.147459896,
advantage,3.051538391,2.522496398,3.5,3.65,0,0.66500407,1,,1.970439863,advantage,333.04,93.42,2.522496398,1.970439863,2.523798475,1.975063996,
adventure,2.836324116,2.641186469,2.85,3.15,0,0.62896025,3,,2.234264124,adventure,437.71,171.5,2.641186469,2.234264124,2.642177534,2.236789099,
adverb,1.041392685,2.588417381,2.5,2.65,1,0.39962941,2,,1.804480189,adverb,387.63,63.75,2.588417381,1.804480189,2.589536323,1.811239773,
advertisement,1.792391689,1.963031875,4.5,5.85,0,0.57476449,3,,1.538196578,advertisement,91.84,34.53,1.963031875,1.538196578,1.967735132,1.550595207,
advertising,2.579783597,2.600068535,3.6,3.7,0,0.64610559,3,,2.170203023,advertising,398.17,147.98,2.600068535,2.170203023,2.601157894,2.17312797,
advice,3.388811413,2.917773251,2.3,2.4,1,0.644243,1,,2.423475252,advice,827.51,265.14,2.917773251,2.423475252,2.918297755,2.425110153,
advise,2.794488047,2.805623177,2.2,1.95,1,0.55631524,1,,1.855519156,advise,639.18,71.7,2.805623177,1.855519156,2.806302102,1.861534411,
